"region","crop","2009","2010","2011","2012","2013"
"19 Västmanland county","potatoes for processing of starch",..,..,..,..,..
"19 Västmanland county","sugar beets",..,..,..,..,..
"19 Västmanland county","winter rape",..,..,1700,..,..
"19 Västmanland county","spring rape",1680,1300,2160,1740,1950
"19 Västmanland county","winter turnip rape",..,..,..,..,..
"19 Västmanland county","spring turnip rape",..,..,..,..,..
"19 Västmanland county","oil flax",..,930,..,..,..
"19 Västmanland county","temporary grasses",..,..,..,..,..
"19 Västmanland county","temporary grasses. First cut",..,..,..,..,..
"19 Västmanland county","temporary grasses. Re-growth",..,..,..,..,..
"20 Dalarna county","winter wheat",2940,3660,4990,4400,..
"20 Dalarna county","spring wheat",2930,..,3290,2910,3270
"20 Dalarna county","rye",..,..,..,..,..
"20 Dalarna county","winter barley",..,..,..,..,..
"20 Dalarna county","spring barley",3300,2460,3540,2790,3860
"20 Dalarna county","oats",3470,2730,3420,3130,3470
"20 Dalarna county","Winter triticale",..,..,..,..,..
"20 Dalarna county","spring triticale",..,..,..,..,..
"20 Dalarna county","mixed grain",..,..,..,..,..
"20 Dalarna county","peas",..,..,..,..,..
"20 Dalarna county","field beans",..,..,..,..,..
"20 Dalarna county","corn",..,..,..,..,..
"20 Dalarna county","table potatoes",21830,23110,28440,22040,30520
"20 Dalarna county","potatoes for processing of starch",..,..,..,..,..
"20 Dalarna county","sugar beets",..,..,..,..,..
"20 Dalarna county","winter rape",..,..,..,..,..
"20 Dalarna county","spring rape",..,..,..,..,..
"20 Dalarna county","winter turnip rape",..,..,..,..,..
"20 Dalarna county","spring turnip rape",1320,1110,1620,1370,1460
"20 Dalarna county","oil flax",..,..,..,..,..
"20 Dalarna county","temporary grasses",..,..,3970,3770,3050
"20 Dalarna county","temporary grasses. First cut",2190,2940,2820,3150,2250
"20 Dalarna county","temporary grasses. Re-growth",..,..,1140,..,..
"21 Gävleborg county","winter wheat",..,..,..,..,..
"21 Gävleborg county","spring wheat",3200,..,3690,3350,4150
"21 Gävleborg county","rye",..,..,..,..,..
"21 Gävleborg county","winter barley",..,..,..,..,..
