"region","crop","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"10 Blekinge county","spring wheat",3.1,..,3.7,1.9,2.0,3.2,3.2,..,2.5,3.7,2.6,3.7,4.2,..,..
"10 Blekinge county","rye",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"10 Blekinge county","winter barley",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"10 Blekinge county","spring barley",3.8,3.4,5.4,3.1,4.3,4.2,5.2,4.4,4.7,4.5,4.1,3.2,6.0,3.2,7.7
"10 Blekinge county","oats",6.0,..,..,..,5.9,8.8,5.7,3.5,3.9,15.3,..,..,..,..,..
"10 Blekinge county","Winter triticale",5.1,4.6,..,..,..,..,6.8,4.9,..,..,5.6,3.9,..,..,..
"10 Blekinge county","spring triticale",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"10 Blekinge county","mixed grain",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"10 Blekinge county","peas",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"10 Blekinge county","field beans",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"10 Blekinge county","corn",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"10 Blekinge county","table potatoes",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"10 Blekinge county","potatoes for processing of starch",1.6,3.2,2.9,0.9,2.0,2.4,2.4,1.4,6.2,5.2,1.6,3.4,2.6,3.8,4.4
"10 Blekinge county","sugar beets",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"10 Blekinge county","winter rape",..,2.7,3.2,2.6,4.0,2.7,2.6,3.3,3.6,3.7,4.9,3.9,3.1,4.3,6.1
"10 Blekinge county","spring rape",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"10 Blekinge county","winter turnip rape",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"10 Blekinge county","spring turnip rape",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"10 Blekinge county","oil flax",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"10 Blekinge county","temporary grasses",..,..,..,..,11.9,..,..,..,..,..,..,..,..,..,..
"10 Blekinge county","temporary grasses. First cut",..,..,..,..,12.4,..,..,..,..,..,..,..,..,..,..
"10 Blekinge county","temporary grasses. Re-growth",..,..,..,..,20.6,..,..,..,..,..,..,..,..,..,..
